ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
34433,Stefanie Fee,F,26.0,168.0,63.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Hockey,"[""Hockey Women's Hockey""]",[nan]
34467,"James ""Jimmy"" Feigen",M,26.0,196.0,98.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Swimming,"[""Swimming Men's 4 x 100 metres Freestyle Relay""]",['Gold']
34551,Allyson Michelle Felix,F,30.0,168.0,56.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Women's 400 metres"", ""Athletics Women's 4 x 400 metres Relay"", ""Athletics Women's 4 x 100 metres Relay""]","['Silver', 'Gold']"
34598,Lauren Fendrick,F,34.0,185.0,75.0,United States-2,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Beach Volleyball,"[""Beach Volleyball Women's Beach Volleyball""]",[nan]
34620,"Yijun ""Tom"" Feng",M,19.0,186.0,71.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Table Tennis,"[""Table Tennis Men's Singles"", ""Table Tennis Men's Team""]",[nan]
35194,Connor Evan Fields,M,23.0,183.0,88.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Cycling,"[""Cycling Men's BMX""]",['Gold']
35426,Mason Finley,M,25.0,203.0,158.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Men's Discus Throw""]",[nan]
35496,Aria Fischer,F,17.0,183.0,78.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Water Polo,"[""Water Polo Women's Water Polo""]",['Gold']
35523,Makenzie Fischer,F,19.0,186.0,74.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Water Polo,"[""Water Polo Women's Water Polo""]",['Gold']
35721,Shalane Flanagan (-Edwards),F,35.0,166.0,47.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Women's Marathon""]",[nan]
35839,Hali Flickinger,F,22.0,168.0,52.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Swimming,"[""Swimming Women's 200 metres Butterfly""]",[nan]
