ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,EventMedal
6317,"Anthony Lawrence ""Tony"" Azevedo",Male,34.0,186.0,90.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,['Water Polo'],['Did Not Place'],Water Polo: Did Not Place
6911,Tavis Bailey,Male,24.0,191.0,125.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,['Discus Throw'],['Did Not Place'],Discus Throw: Did Not Place
7013,Brian Richard Baker,Male,31.0,191.0,77.0,United States-1,USA,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,"['Singles', 'Doubles']",['Did Not Place'],Doubles: Did Not Place; Singles: Did Not Place
7020,Kathleen Baker,Female,19.0,173.0,68.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,"['100 metres Backstroke', '4 x 100 metres Medley Relay']","['Silver', 'Gold']",4 x 100 metres Medley Relay: Gold; 100 metres Backstroke: Silver
7030,Perry Baker,Male,30.0,185.0,82.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,['Rugby Sevens'],['Did Not Place'],Rugby Sevens: Did Not Place
7208,"Carlos Zenon Balderas, Jr.",Male,19.0,175.0,60.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,['Lightweight'],['Did Not Place'],Lightweight: Did Not Place
7590,Kayla Banwarth,Female,27.0,178.0,70.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,['Volleyball'],['Bronze'],Volleyball: Bronze
7666,"Matthew ""Matt"" Baranoski",Male,23.0,183.0,96.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,['Keirin'],['Did Not Place'],Keirin: Did Not Place
7705,"Akalaini ""Bui"" Baravilala",Female,25.0,168.0,75.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,['Rugby Sevens'],['Did Not Place'],Rugby Sevens: Did Not Place
7956,Harrison Bryce Jordan Barnes,Male,24.0,203.0,102.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,['Basketball'],['Gold'],Basketball: Gold
8008,McQuin Baron,Male,20.0,206.0,104.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,['Water Polo'],['Did Not Place'],Water Polo: Did Not Place
8093,Danny Barrett,Male,26.0,188.0,102.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,['Rugby Sevens'],['Did Not Place'],Rugby Sevens: Did Not Place
8128,"Jennifer Mae ""Jenny"" Barringer-Simpson",Female,29.0,166.0,53.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"['1,500 metres']",['Bronze'],"1,500 metres: Bronze"
8173,Thomas Barrows III,Male,28.0,186.0,82.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,['Skiff'],['Did Not Place'],Skiff: Did Not Place
9460,Elizabeth Lyon Beisel,Female,23.0,168.0,68.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,['400 metres Individual Medley'],['Did Not Place'],400 metres Individual Medley: Did Not Place
9953,"Christopher Anthony ""Chris"" Benard",Male,26.0,191.0,84.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,['Triple Jump'],['Did Not Place'],Triple Jump: Did Not Place
9988,Garrett Bender,Male,24.0,193.0,105.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,['Rugby Sevens'],['Did Not Place'],Rugby Sevens: Did Not Place
10257,"Joseph ""Gunnar"" Bentz",Male,20.0,196.0,84.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,['4 x 200 metres Freestyle Relay'],['Gold'],4 x 200 metres Freestyle Relay: Gold
10585,Boris Berian,Male,23.0,183.0,70.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,['800 metres'],['Did Not Place'],800 metres: Did Not Place
10802,Gwen Berry,Female,27.0,175.0,89.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,['Hammer Throw'],['Did Not Place'],Hammer Throw: Did Not Place
10876,"Kathleen ""Kate"" Bertko",Female,32.0,175.0,58.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,['Lightweight Double Sculls'],['Did Not Place'],Lightweight Double Sculls: Did Not Place
11495,Simone Arianne Biles,Female,19.0,143.0,47.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,"['Individual All-Around', 'Team All-Around', 'Floor Exercise', 'Uneven Bars', 'Balance Beam', 'Horse Vault']","['Did Not Place', 'Gold', 'Bronze']",Individual All-Around: Gold; Horse Vault: Gold; Uneven Bars: Did Not Place; Floor Exercise: Gold; Balance Beam: Bronze; Team All-Around: Gold
11527,"Gregory ""Greg"" Billington",Male,27.0,175.0,66.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Triathlon,['Olympic Distance'],['Did Not Place'],Olympic Distance: Did Not Place
11671,"Suzanne Brigit ""Sue"" Bird",Female,35.0,175.0,66.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,['Basketball'],['Gold'],Basketball: Gold
11769,"Andrew Thomas ""Andy"" Bisek",Male,29.0,178.0,82.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"['Middleweight, Greco-Roman']",['Did Not Place'],"Middleweight, Greco-Roman: Did Not Place"
12164,"Benjamin Floyd ""Ben"" Blankenship",Male,27.0,178.0,64.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"['1,500 metres']",['Did Not Place'],"1,500 metres: Did Not Place"
13092,Bret Bonanni,Male,22.0,194.0,92.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,['Water Polo'],['Did Not Place'],Water Polo: Did Not Place
13322,Brent Bookwalter,Male,32.0,181.0,68.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"['Individual Time Trial', 'Road Race, Individual']",['Did Not Place'],"Individual Time Trial: Did Not Place; Road Race, Individual: Did Not Place"
13379,Hillary Bor,Male,26.0,168.0,52.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"['3,000 metres Steeplechase']",['Did Not Place'],"3,000 metres Steeplechase: Did Not Place"
13549,Brittany Borman,Female,27.0,183.0,77.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,['Javelin Throw'],['Did Not Place'],Javelin Throw: Did Not Place
